system:index,O3_column_number_density,city,.geo
180,0.11787764980730431,Tiruchirappalli,"{""type"":""Point"",""coordinates"":[78.7047,10.790500000000002]}"
181,0.11713469703364979,Tirunelveli,"{""type"":""Point"",""coordinates"":[77.75670000000001,8.7139]}"
182,0.11859542633278854,Tirupati,"{""type"":""Point"",""coordinates"":[79.4192,13.6288]}"
183,0.11773479732918957,Tiruppur,"{""type"":""Point"",""coordinates"":[77.3411,11.108500000000001]}"
184,0.11858033775175884,Tiruvottiyur,"{""type"":""Point"",""coordinates"":[80.3042,13.157800000000002]}"
185,0.11808439432882993,Tumkur,"{""type"":""Point"",""coordinates"":[77.101,13.340899999999998]}"
186,0.12600562996619497,Udaipur,"{""type"":""Point"",""coordinates"":[73.7125,24.5854]}"
187,0.1246382463074324,Ujjain,"{""type"":""Point"",""coordinates"":[75.7849,23.1793]}"
188,0.1224712401074867,Ulhasnagar,"{""type"":""Point"",""coordinates"":[73.16450000000002,19.221500000000002]}"
189,0.12446484928021387,Vadodara,"{""type"":""Point"",""coordinates"":[73.1812,22.3072]}"
190,0.1285460587707967,Varanasi,"{""type"":""Point"",""coordinates"":[82.9739,25.3176]}"
191,0.1224739414974276,Vasai-Virar,"{""type"":""Point"",""coordinates"":[72.8397,19.3919]}"
192,0.11844154385757599,Vellore,"{""type"":""Point"",""coordinates"":[79.1325,12.916499999999997]}"
193,0.12117942731003646,Vijayanagaram,"{""type"":""Point"",""coordinates"":[83.39560000000002,18.1165]}"
194,0.12049718106282353,Vijayawada,"{""type"":""Point"",""coordinates"":[80.648,16.5062]}"
195,0.11826425437495122,Viluppuram,"{""type"":""Point"",""coordinates"":[79.4924,11.9398]}"
196,0.12100569503208093,Visakhapatnam,"{""type"":""Point"",""coordinates"":[83.2185,17.6868]}"
197,0.12111305052983404,Warangal,"{""type"":""Point"",""coordinates"":[79.5941,17.9784]}"
