system:index,SO2_column_number_density,city,.geo
97,1.9494335593182364E-4,Kanpur,"{""type"":""Point"",""coordinates"":[80.3319,26.4499]}"
98,1.6390884577999472E-4,Karimnagar,"{""type"":""Point"",""coordinates"":[79.1288,18.438599999999997]}"
99,2.5338634157303925E-4,Karnal,"{""type"":""Point"",""coordinates"":[76.9905,29.6857]}"
100,2.404459091079661E-5,Kochi,"{""type"":""Point"",""coordinates"":[76.2673,9.9312]}"
101,9.832609139353694E-5,Kolhapur,"{""type"":""Point"",""coordinates"":[74.2433,16.704999999999995]}"
102,4.090973725866954E-4,Kolkata,"{""type"":""Point"",""coordinates"":[88.3639,22.5726]}"
103,2.2678813627105995E-5,Kollam,"{""type"":""Point"",""coordinates"":[76.6141,8.8932]}"
104,0.0011012758080285734,Korba,"{""type"":""Point"",""coordinates"":[82.7501,22.359499999999997]}"
105,1.9207297134967403E-4,Kota,"{""type"":""Point"",""coordinates"":[75.8648,25.2138]}"
106,4.486638022201429E-6,Kozhikode,"{""type"":""Point"",""coordinates"":[75.7804,11.2588]}"
107,1.4871880665600251E-4,Kurnool,"{""type"":""Point"",""coordinates"":[78.0373,15.828100000000001]}"
108,1.286497839718657E-4,Latur,"{""type"":""Point"",""coordinates"":[76.5604,18.408799999999996]}"
109,1.6328200842012633E-4,Loni,"{""type"":""Point"",""coordinates"":[77.288,28.7515]}"
110,8.64306743732709E-5,Lucknow,"{""type"":""Point"",""coordinates"":[80.9462,26.846699999999995]}"
111,2.453322571642017E-4,Ludhiana,"{""type"":""Point"",""coordinates"":[75.8573,30.90050000000001]}"
112,5.0474542381194934E-5,Madurai,"{""type"":""Point"",""coordinates"":[78.1198,9.925199999999998]}"
113,3.814271686861493E-4,Maheshtala,"{""type"":""Point"",""coordinates"":[88.2532,22.5086]}"
114,-6.99368455801544E-5,Malappuram,"{""type"":""Point"",""coordinates"":[76.0748,11.073499999999997]}"
115,1.6365776713787847E-4,Malegaon,"{""type"":""Point"",""coordinates"":[74.5288,20.553699999999996]}"
