system:index,City,Mean_Methane_Level,.geo
180,Tiruchirappalli,1915.387600130925,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,Tirunelveli,1924.6012573234048,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,Tirupati,1941.0694831102958,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,Tiruppur,1937.6450611540915,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,Tiruvottiyur,1900.0689758585577,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,Tumkur,1918.3304747949455,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,Udaipur,1909.1121277136915,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,Ujjain,1924.8751357480035,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,Ulhasnagar,1941.762215529835,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,Vadodara,1939.258615635302,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,Varanasi,1938.4992477124113,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,Vasai-Virar,1931.675784334416,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,Vellore,1931.124194270959,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,Vijayanagaram,1931.8839788821133,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,Vijayawada,1932.3064897203608,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,Viluppuram,1923.8611111087264,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,Visakhapatnam,1925.1912699804234,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,Warangal,1933.4763838756335,"{""type"":""MultiPoint"",""coordinates"":[]}"
