system:index,Aerosol_Height,City,.geo
107,3166.006370163246,Kurnool,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,1381.1507063965946,Latur,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,1162.6810357406252,Loni,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,1083.824248097536,Lucknow,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,1035.9574404279008,Ludhiana,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,1384.5798821788896,Madurai,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,548.0804086176953,Maheshtala,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,1446.0892538134362,Malappuram,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,1334.7184014740994,Malegaon,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,1210.9879578458435,Mancherial,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,2249.254106498149,Mandya,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,,Mangalore,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,1273.9971222537679,Mathura,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,957.2801270803521,Meerut,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,1010.3680898708801,Mira-Bhayandar,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,1307.9309631332667,Moradabad,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,,Mumbai,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,1222.5920073469367,Munger,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,825.7210075408846,Muzaffarnagar,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,662.1537643749056,Muzaffarpur,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,2183.3152928922086,Mysore,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,1739.6065088628782,Nagpur,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,1182.1766973360611,Naihati,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,1402.530277229624,Nanded,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,1602.3569020538393,Nashik,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,1217.3992900529452,Navi Mumbai,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,675.7011552132609,Navsari,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,1288.167924014631,Nellore,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,1436.988316396442,Nizamabad,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,1016.7567148078193,Noida,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,,Ozhukarai,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,1593.2091893524646,Palakkad,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,1032.5369126545716,Pali,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,1438.8482313425939,Panihati,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,1083.151390187805,Panipat,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,1105.2964751436311,Parbhani,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,1072.6666562749735,Patiala,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,945.115988447594,Patna,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,1777.2705087849524,Pimpri-Chinchwad,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,,Puducherry,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,1490.4317015398299,Pune,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,1049.827980048128,Purnia,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,1204.9563538262996,Raichur,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,1398.5646619591103,Raipur,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,945.0302354391006,Rajahmundry,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,1161.5029127480539,Rajkot,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,1436.5187909470844,Rajnandgaon,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,1265.3021151425341,Rampur,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,1733.2162176061352,Ranchi,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,1448.2774756519896,Ratlam,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,866.1606609920134,Rayagada,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,1230.8824337843917,Rohtak,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,826.3337249053071,Roorkee,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,973.3947162853417,Saharanpur,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,2112.023953942407,Salem,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,1062.3882521691687,Sambalpur,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,1202.1572404924377,Sangli,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,1393.652329177886,Satara,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,859.6486734778329,Shahjahanpur,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,3783.5155809583803,Shimla,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,1870.4377049977113,Shivamogga,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,1691.9197518056108,Shivpuri,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,1528.4074799153739,Sikar,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,1041.3171449689362,Siliguri,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,1748.5530359738605,Singrauli,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,1466.983852881665,Sitapur,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,1783.6501878561353,Solapur,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,1236.2421462212235,South Dumdum,"{""type"":""MultiPoint"",""coordinates"":[]}"
