system:index,SoilMoi0_10cm_inst,city,.geo
88,18.606977462768555,Jamnagar,"{""type"":""Point"",""coordinates"":[70.0577,22.4707]}"
89,25.79246711730957,Jamshedpur,"{""type"":""Point"",""coordinates"":[86.2029,22.8046]}"
90,12.582356452941895,Jhansi,"{""type"":""Point"",""coordinates"":[78.5685,25.4484]}"
91,14.875370979309082,Jodhpur,"{""type"":""Point"",""coordinates"":[73.0243,26.238900000000005]}"
92,12.801663398742676,Kadapa,"{""type"":""Point"",""coordinates"":[78.82420000000002,14.467300000000002]}"
93,16.02873420715332,Kakinada,"{""type"":""Point"",""coordinates"":[82.2475,16.989099999999997]}"
94,21.910980224609375,Kalyan-Dombivli,"{""type"":""Point"",""coordinates"":[73.1305,19.240300000000005]}"
95,27.93671226501465,Kamarhati,"{""type"":""Point"",""coordinates"":[88.3748,22.671099999999996]}"
96,19.616870880126953,Kanchipuram,"{""type"":""Point"",""coordinates"":[79.7036,12.8342]}"
97,18.06193733215332,Kanpur,"{""type"":""Point"",""coordinates"":[80.3319,26.4499]}"
98,19.171401977539062,Karimnagar,"{""type"":""Point"",""coordinates"":[79.1288,18.438599999999997]}"
99,11.889084815979004,Karnal,"{""type"":""Point"",""coordinates"":[76.9905,29.6857]}"
100,25.3316650390625,Kochi,"{""type"":""Point"",""coordinates"":[76.2673,9.9312]}"
101,13.98508358001709,Kolhapur,"{""type"":""Point"",""coordinates"":[74.2433,16.704999999999995]}"
102,27.93671226501465,Kolkata,"{""type"":""Point"",""coordinates"":[88.3639,22.5726]}"
103,22.865015029907227,Kollam,"{""type"":""Point"",""coordinates"":[76.6141,8.8932]}"
104,14.763891220092773,Korba,"{""type"":""Point"",""coordinates"":[82.7501,22.359499999999997]}"
105,22.335559844970703,Kota,"{""type"":""Point"",""coordinates"":[75.8648,25.2138]}"
106,26.96135711669922,Kozhikode,"{""type"":""Point"",""coordinates"":[75.7804,11.2588]}"
107,20.144559860229492,Kurnool,"{""type"":""Point"",""coordinates"":[78.0373,15.828100000000001]}"
108,20.959680557250977,Latur,"{""type"":""Point"",""coordinates"":[76.5604,18.408799999999996]}"
109,12.90750503540039,Loni,"{""type"":""Point"",""coordinates"":[77.288,28.7515]}"
110,18.392169952392578,Lucknow,"{""type"":""Point"",""coordinates"":[80.9462,26.846699999999995]}"
111,16.85221290588379,Ludhiana,"{""type"":""Point"",""coordinates"":[75.8573,30.90050000000001]}"
