system:index,CO_column_number_density,city,.geo
154,0.04299193933890541,Rampur,"{""type"":""Point"",""coordinates"":[79.025,28.789499999999997]}"
155,0.04083629373069773,Ranchi,"{""type"":""Point"",""coordinates"":[85.3096,23.3441]}"
156,0.03784565357598771,Ratlam,"{""type"":""Point"",""coordinates"":[75.037,23.3342]}"
157,0.0454500290528991,Rayagada,"{""type"":""Point"",""coordinates"":[83.4162,19.1726]}"
158,0.041053189116821695,Rohtak,"{""type"":""Point"",""coordinates"":[76.6066,28.895500000000002]}"
159,0.04140235048140978,Roorkee,"{""type"":""Point"",""coordinates"":[77.888,29.8543]}"
160,0.04242924568268461,Saharanpur,"{""type"":""Point"",""coordinates"":[77.5452,29.967900000000004]}"
161,0.038064668560030324,Salem,"{""type"":""Point"",""coordinates"":[78.146,11.6643]}"
162,0.047325957350649116,Sambalpur,"{""type"":""Point"",""coordinates"":[83.9812,21.466900000000003]}"
163,0.0397438932724426,Sangli,"{""type"":""Point"",""coordinates"":[74.5815,16.8524]}"
164,0.0375892969228048,Satara,"{""type"":""Point"",""coordinates"":[74.0183,17.68049999999999]}"
165,0.04346676690129206,Shahjahanpur,"{""type"":""Point"",""coordinates"":[79.9094,27.8815]}"
166,0.03112263182181192,Shimla,"{""type"":""Point"",""coordinates"":[77.1734,31.104800000000004]}"
167,0.03737035479453431,Shivamogga,"{""type"":""Point"",""coordinates"":[75.5681,13.9299]}"
168,0.038313186436475834,Shivpuri,"{""type"":""Point"",""coordinates"":[77.657,25.423500000000004]}"
169,0.03717731300912094,Sikar,"{""type"":""Point"",""coordinates"":[75.1399,27.609399999999997]}"
170,0.04890690055090976,Siliguri,"{""type"":""Point"",""coordinates"":[88.39530000000002,26.7271]}"
171,0.0434188766232081,Singrauli,"{""type"":""Point"",""coordinates"":[82.6754,24.199]}"
172,0.04356494165887481,Sitapur,"{""type"":""Point"",""coordinates"":[80.6744,27.561900000000005]}"
173,0.040948420978786364,Solapur,"{""type"":""Point"",""coordinates"":[75.90640000000002,17.6599]}"
174,0.04980900774967031,South Dumdum,"{""type"":""Point"",""coordinates"":[88.4,22.61]}"
175,0.034067739381163156,Srinagar,"{""type"":""Point"",""coordinates"":[74.79730000000002,34.08370000000001]}"
176,0.041888130110310756,Surat,"{""type"":""Point"",""coordinates"":[72.8311,21.1702]}"
177,0.04174063010740573,Thane,"{""type"":""Point"",""coordinates"":[72.9781,19.2183]}"
178,0.037652712707527625,Thanjavur,"{""type"":""Point"",""coordinates"":[79.1378,10.786700000000003]}"
179,0.039824075996872,Thrissur,"{""type"":""Point"",""coordinates"":[76.2144,10.5276]}"
180,0.03746053395313228,Tiruchirappalli,"{""type"":""Point"",""coordinates"":[78.7047,10.790500000000002]}"
181,0.0350107922844589,Tirunelveli,"{""type"":""Point"",""coordinates"":[77.75670000000001,8.7139]}"
182,0.03958192556871225,Tirupati,"{""type"":""Point"",""coordinates"":[79.4192,13.6288]}"
183,0.037808400930312666,Tiruppur,"{""type"":""Point"",""coordinates"":[77.3411,11.108500000000001]}"
184,0.03999312835651245,Tiruvottiyur,"{""type"":""Point"",""coordinates"":[80.3042,13.157800000000002]}"
185,0.03546971904672597,Tumkur,"{""type"":""Point"",""coordinates"":[77.101,13.340899999999998]}"
186,0.0351108278634025,Udaipur,"{""type"":""Point"",""coordinates"":[73.7125,24.5854]}"
187,0.03805223753786565,Ujjain,"{""type"":""Point"",""coordinates"":[75.7849,23.1793]}"
188,0.04177099115176132,Ulhasnagar,"{""type"":""Point"",""coordinates"":[73.16450000000002,19.221500000000002]}"
189,0.04055763342662677,Vadodara,"{""type"":""Point"",""coordinates"":[73.1812,22.30720000000001]}"
190,0.04483776275748208,Varanasi,"{""type"":""Point"",""coordinates"":[82.9739,25.3176]}"
191,0.041461776003508866,Vasai-Virar,"{""type"":""Point"",""coordinates"":[72.8397,19.391900000000003]}"
192,0.037537976680510336,Vellore,"{""type"":""Point"",""coordinates"":[79.1325,12.9165]}"
193,0.0460411559170428,Vijayanagaram,"{""type"":""Point"",""coordinates"":[83.39560000000002,18.1165]}"
194,0.04422737235606477,Vijayawada,"{""type"":""Point"",""coordinates"":[80.648,16.5062]}"
195,0.037961941212398244,Viluppuram,"{""type"":""Point"",""coordinates"":[79.4924,11.9398]}"
196,0.04778566407336957,Visakhapatnam,"{""type"":""Point"",""coordinates"":[83.2185,17.6868]}"
197,0.042583334402632775,Warangal,"{""type"":""Point"",""coordinates"":[79.5941,17.9784]}"
