system:index,city,tropospheric_NO2_column_number_density,.geo
93,Kakinada,3.050447394016362E-5,"{""type"":""Point"",""coordinates"":[82.2475,16.989099999999997]}"
94,Kalyan-Dombivli,8.21778783997762E-5,"{""type"":""Point"",""coordinates"":[73.1305,19.240300000000005]}"
95,Kamarhati,7.958871951374414E-5,"{""type"":""Point"",""coordinates"":[88.3748,22.671099999999996]}"
96,Kanchipuram,3.204980175374587E-5,"{""type"":""Point"",""coordinates"":[79.7036,12.8342]}"
97,Kanpur,6.289422307662608E-5,"{""type"":""Point"",""coordinates"":[80.3319,26.4499]}"
98,Karimnagar,4.0655200116150684E-5,"{""type"":""Point"",""coordinates"":[79.1288,18.438599999999997]}"
99,Karnal,6.0202822600014984E-5,"{""type"":""Point"",""coordinates"":[76.9905,29.6857]}"
100,Kochi,3.9817989339988455E-5,"{""type"":""Point"",""coordinates"":[76.2673,9.9312]}"
101,Kolhapur,4.538463851225348E-5,"{""type"":""Point"",""coordinates"":[74.2433,16.704999999999995]}"
102,Kolkata,1.0456862271927991E-4,"{""type"":""Point"",""coordinates"":[88.3639,22.5726]}"
103,Kollam,2.1675118853336557E-5,"{""type"":""Point"",""coordinates"":[76.6141,8.8932]}"
104,Korba,3.4459699407095567E-4,"{""type"":""Point"",""coordinates"":[82.7501,22.359499999999997]}"
105,Kota,6.954229226379579E-5,"{""type"":""Point"",""coordinates"":[75.8648,25.2138]}"
106,Kozhikode,2.3785769674559872E-5,"{""type"":""Point"",""coordinates"":[75.7804,11.2588]}"
107,Kurnool,3.536200171296555E-5,"{""type"":""Point"",""coordinates"":[78.0373,15.828100000000001]}"
108,Latur,3.422236568581302E-5,"{""type"":""Point"",""coordinates"":[76.5604,18.408799999999996]}"
109,Loni,9.654215090282553E-5,"{""type"":""Point"",""coordinates"":[77.288,28.7515]}"
110,Lucknow,5.6928885712099733E-5,"{""type"":""Point"",""coordinates"":[80.9462,26.846699999999995]}"
111,Ludhiana,8.197951784776716E-5,"{""type"":""Point"",""coordinates"":[75.8573,30.90050000000001]}"
112,Madurai,3.4790485839977546E-5,"{""type"":""Point"",""coordinates"":[78.1198,9.925199999999998]}"
113,Maheshtala,9.211365103658738E-5,"{""type"":""Point"",""coordinates"":[88.2532,22.5086]}"
114,Malappuram,2.5139333804758002E-5,"{""type"":""Point"",""coordinates"":[76.0748,11.073499999999997]}"
115,Malegaon,3.633088217349937E-5,"{""type"":""Point"",""coordinates"":[74.5288,20.553699999999996]}"
116,Mancherial,1.3432540758946467E-4,"{""type"":""Point"",""coordinates"":[79.4287,18.870800000000003]}"
117,Mandya,3.218845487044796E-5,"{""type"":""Point"",""coordinates"":[76.8951,12.524399999999998]}"
118,Mangalore,3.6820126810540506E-5,"{""type"":""Point"",""coordinates"":[74.856,12.9141]}"
119,Mathura,5.714111767856053E-5,"{""type"":""Point"",""coordinates"":[77.6737,27.4924]}"
120,Meerut,6.711732688305586E-5,"{""type"":""Point"",""coordinates"":[77.7064,28.984499999999997]}"
121,Mira-Bhayandar,5.160491663838942E-5,"{""type"":""Point"",""coordinates"":[72.8544,19.295200000000005]}"
122,Moradabad,5.212977050569403E-5,"{""type"":""Point"",""coordinates"":[78.7733,28.8386]}"
123,Mumbai,1.0714728915769323E-4,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
124,Munger,5.4181452729063374E-5,"{""type"":""Point"",""coordinates"":[86.4735,25.3746]}"
125,Muzaffarnagar,5.5484000832184974E-5,"{""type"":""Point"",""coordinates"":[77.7041,29.473700000000004]}"
126,Muzaffarpur,4.7843855568293704E-5,"{""type"":""Point"",""coordinates"":[85.3647,26.1209]}"
127,Mysore,3.670098697941144E-5,"{""type"":""Point"",""coordinates"":[76.6394,12.295800000000002]}"
128,Nagpur,9.012010836599722E-5,"{""type"":""Point"",""coordinates"":[79.0882,21.145800000000005]}"
129,Naihati,5.749759836295102E-5,"{""type"":""Point"",""coordinates"":[88.4194,22.894800000000004]}"
130,Nanded,3.624951115339028E-5,"{""type"":""Point"",""coordinates"":[77.321,19.138299999999997]}"
131,Nashik,5.207429253118859E-5,"{""type"":""Point"",""coordinates"":[73.7898,19.997500000000002]}"
132,Navi Mumbai,1.1820789510540602E-4,"{""type"":""Point"",""coordinates"":[73.0297,19.033]}"
133,Navsari,5.3940738020735076E-5,"{""type"":""Point"",""coordinates"":[72.952,20.946700000000003]}"
134,Nellore,4.531440363240523E-5,"{""type"":""Point"",""coordinates"":[79.98650000000002,14.442600000000002]}"
135,Nizamabad,3.576362649905007E-5,"{""type"":""Point"",""coordinates"":[78.0941,18.6725]}"
136,Noida,1.5653412064048174E-4,"{""type"":""Point"",""coordinates"":[77.391,28.535500000000003]}"
137,Ozhukarai,2.635005185613567E-5,"{""type"":""Point"",""coordinates"":[79.7852,11.934099999999999]}"
138,Palakkad,3.5283200677459616E-5,"{""type"":""Point"",""coordinates"":[76.6548,10.7867]}"
139,Pali,3.137396953643569E-5,"{""type"":""Point"",""coordinates"":[73.3234,25.772500000000004]}"
140,Panihati,7.490236849575153E-5,"{""type"":""Point"",""coordinates"":[88.3748,22.690200000000004]}"
141,Panipat,1.1058363409346747E-4,"{""type"":""Point"",""coordinates"":[76.9635,29.390900000000002]}"
142,Parbhani,3.3506135731854766E-5,"{""type"":""Point"",""coordinates"":[76.77670000000002,19.2704]}"
143,Patiala,6.053751021389843E-5,"{""type"":""Point"",""coordinates"":[76.3869,30.3398]}"
144,Patna,6.347122176660522E-5,"{""type"":""Point"",""coordinates"":[85.1376,25.5941]}"
145,Pimpri-Chinchwad,7.650267127117056E-5,"{""type"":""Point"",""coordinates"":[73.7997,18.629799999999996]}"
146,Puducherry,2.507595846635675E-5,"{""type"":""Point"",""coordinates"":[79.8083,11.941600000000001]}"
147,Pune,8.267527395838287E-5,"{""type"":""Point"",""coordinates"":[73.8567,18.5204]}"
148,Purnia,4.169602363567123E-5,"{""type"":""Point"",""coordinates"":[87.4753,25.7771]}"
149,Raichur,5.151155755487345E-5,"{""type"":""Point"",""coordinates"":[77.3566,16.2076]}"
150,Raipur,1.189567285350216E-4,"{""type"":""Point"",""coordinates"":[81.6296,21.2514]}"
151,Rajahmundry,2.6791714723508216E-5,"{""type"":""Point"",""coordinates"":[81.804,17.0005]}"
152,Rajkot,5.056960079397043E-5,"{""type"":""Point"",""coordinates"":[70.8022,22.3039]}"
153,Rajnandgaon,5.3995181418112175E-5,"{""type"":""Point"",""coordinates"":[81.0299,21.0974]}"
154,Rampur,4.450478973602519E-5,"{""type"":""Point"",""coordinates"":[79.025,28.789499999999997]}"
155,Ranchi,4.7362814656099996E-5,"{""type"":""Point"",""coordinates"":[85.3096,23.3441]}"
156,Ratlam,2.9373378572199893E-5,"{""type"":""Point"",""coordinates"":[75.037,23.3342]}"
157,Rayagada,2.7767617902198175E-5,"{""type"":""Point"",""coordinates"":[83.4162,19.1726]}"
158,Rohtak,6.054627750915193E-5,"{""type"":""Point"",""coordinates"":[76.6066,28.895500000000002]}"
159,Roorkee,5.444188449245399E-5,"{""type"":""Point"",""coordinates"":[77.888,29.8543]}"
160,Saharanpur,5.8308714160677784E-5,"{""type"":""Point"",""coordinates"":[77.5452,29.967900000000004]}"
161,Salem,4.294901672675519E-5,"{""type"":""Point"",""coordinates"":[78.146,11.6643]}"
162,Sambalpur,6.475775663905428E-5,"{""type"":""Point"",""coordinates"":[83.9812,21.466900000000003]}"
163,Sangli,4.486825022719514E-5,"{""type"":""Point"",""coordinates"":[74.5815,16.8524]}"
164,Satara,3.6386176599763845E-5,"{""type"":""Point"",""coordinates"":[74.0183,17.68049999999999]}"
165,Shahjahanpur,6.745459459482406E-5,"{""type"":""Point"",""coordinates"":[79.9094,27.8815]}"
166,Shimla,3.739214399104065E-5,"{""type"":""Point"",""coordinates"":[77.1734,31.104800000000004]}"
167,Shivamogga,2.571818268628185E-5,"{""type"":""Point"",""coordinates"":[75.5681,13.9299]}"
168,Shivpuri,2.9284618194385462E-5,"{""type"":""Point"",""coordinates"":[77.657,25.423500000000004]}"
169,Sikar,3.5279906890498135E-5,"{""type"":""Point"",""coordinates"":[75.1399,27.609399999999997]}"
