system:index,City,PM25,.geo
123,Mumbai,-0.06556779969867418,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,Munger,-0.03855671668458703,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,Muzaffarnagar,0.11539829875709363,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,Muzaffarpur,0.002492532246020687,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,Mysore,-0.4211068906020632,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,Nagpur,-0.20456174776507058,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,Naihati,-0.32868016413656953,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,Nanded,-0.27258568703981606,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,Nashik,-0.08340966101268306,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,Navi Mumbai,-0.18984295429978224,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,Navsari,-0.07955754451450146,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,Nellore,-0.3912352548336063,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,Nizamabad,-0.3452882940700087,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,Noida,0.2261343439392127,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,Ozhukarai,-0.43072105395489346,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,Palakkad,-0.49170276019402315,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,Pali,0.3086687618825277,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,Panihati,-0.2400305976809521,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,Panipat,0.2745377867093875,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,Parbhani,-0.3013601869194084,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,Patiala,0.2057825075298835,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,Patna,0.055205383400941006,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,Pimpri-Chinchwad,-0.10016497226666062,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,Puducherry,-0.4207529560375044,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,Pune,-0.14826961175544492,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,Purnia,-0.06392882626925483,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,Raichur,-0.23186677829549393,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,Raipur,-0.1706308013107283,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,Rajahmundry,-0.4094183200934873,"{""type"":""MultiPoint"",""coordinates"":[]}"
